	name	count
129432	THE ROUTER	3455
35748	I HAVE	3118
159105	TO THE	2924
181270	OF THE	2592
123549	THIS ROUTER	2374
67823	ON THE	2316
41291	IN THE	2238
9574	I WAS	1789
90752	IT WAS	1755
143339	WITH THE	1751
7992	FOR A	1670
116319	I HAD	1623
87803	IT IS	1619
165747	I AM	1545
3863	AND THE	1509
89515	TO GET	1505
21163	TO BE	1456
4222	AND I	1422
2603	HAVE TO	1409
134078	AND IT	1322
110390	FOR THE	1272
860	THIS IS	1251
177899	THE SAME	1249
35388	SO I	1169
181652	IS A	1119
153090	THAT I	1113
37285	IT TO	1072
68125	IF YOU	1071
32382	WHEN I	1037
27374	THE NETGEAR	1031
60034	DID NOT	1028
64114	ROUTER AND	1022
151357	I WOULD	1017
135210	HAD TO	1012
18098	THIS PRODUCT	1006
149312	SET UP	1005
118475	IS NOT	957
79688	FROM THE	956
20261	TO MY	955
22348	TO WORK	948
169990	HAVE A	932
175694	DOES NOT	908
115546	ABLE TO	907
6630	I BOUGHT	905
121177	THE INTERNET	903
24241	TECH SUPPORT	898
32125	BUT I	862
132010	THE EXTENDER	861
123911	WITH A	842
178244	CONNECT TO	818
32781	I COULD	802
108447	WITH THIS	800
173195	THAT THE	783
111271	NOT WORK	780
96476	A FEW	763
47863	OF MY	760
58519	ROUTER I	756
16114	IN MY	749
34981	TO CONNECT	740
136032	ROUTER IS	738
38794	THE PROBLEM	730
11376	BUT IT	725
166561	I WILL	718
56311	WITH MY	713
58682	IT WOULD	690
171075	WAS A	690
176243	DO NOT	686
189334	ON MY	683
11986	THE DEVICE	670
165885	WOULD NOT	657
79879	I TRIED	656
80930	THE SIGNAL	640
159534	TRYING TO	639
159779	TO A	639
81254	IT WORKS	631
64839	IN A	630
74691	ALL THE	623
12054	BOUGHT THIS	623
83306	UP AND	621
25373	THE PRODUCT	619
127115	BUT THE	616
168230	THE WIFI	615
180277	AND THEN	612
59558	A NEW	610
146975	COULD NOT	603
64303	TO SET	602
63683	I CAN	602
119906	IS THE	601
171574	AT ALL	593
179183	ME TO	590
41150	BACK TO	588
62573	GET IT	587
38057	YOU HAVE	585
180187	OUT OF	579
189876	I GOT	572
13187	IF I	571
85262	THE FIRST	570
185007	TO DO	569
167870	THE UNIT	568
154809	TO USE	563
81434	CUSTOMER SERVICE	562
84277	THIS ONE	557
142437	I DID	556
103296	THAT IT	555
157214	WHICH IS	547
111474	AS A	537
106574	IT AND	529
150414	TO RETURN	528
127689	CONNECTED TO	528
169	THERE IS	520
121741	THE RANGE	519
30415	WHEN IT	519
181873	AT THE	518
12723	MY ROUTER	516
157756	THE FIRMWARE	513
140871	I PURCHASED	512
56497	THIS DEVICE	510
128854	WAS NOT	506
145515	ROUTER TO	505
105136	IT UP	500
70639	WILL NOT	494
115150	THE HOUSE	484
27475	AND THEY	483
121870	TO HAVE	478
53928	HAVE BEEN	473
22826	MY OLD	473
27652	NETGEAR SUPPORT	468
189017	I DON'T	464
172047	AS I	462
108016	IT BACK	461
29862	THE PHONE	461
24252	IT WORKED	460
31182	TRIED TO	455
125905	WILL BE	454
93184	OF THIS	453
141970	RANGE EXTENDER	451
190855	IT WILL	451
167480	THIS THING	449
85370	MORE THAN	447
15625	THE CONNECTION	446
32111	FOR ME	445
154024	IT HAS	442
181706	THAT IS	441
11860	WOULD BE	440
5925	WHAT I	439
145127	GOING TO	436
108423	ON THIS	436
170434	WANT TO	434
75811	THE WIRELESS	432
107354	GET A	427
124397	THIS WAS	420
59729	NEED TO	420
114213	IT DOES	420
187573	GET THE	420
171040	YOU ARE	414
18476	EASY TO	412
107582	I CALLED	411
138971	ONE OF	409
152685	THE TIME	409
111999	WITH NETGEAR	408
100855	HAD A	407
160334	A ROUTER	406
37200	WOULD HAVE	404
1136	ROUTER THAT	402
98414	A GOOD	402
161678	A YEAR	402
125025	YOU CAN	401
32869	I THOUGHT	399
51594	THE BOX	399
22940	A LOT	396
47354	RETURN IT	395
69561	HAS BEEN	392
34560	A NETGEAR	391
48868	BE A	389
5848	AT LEAST	388
103349	A WEEK	387
64342	THE OTHER	386
88909	FROM MY	383
83883	IT I	383
161122	SEEMS TO	377
99994	TO REPLACE	373
182947	INTERNET CONNECTION	372
91622	NETGEAR ROUTER	369
15069	STOPPED WORKING	366
15465	THE ISSUE	364
106986	IT FOR	361
13811	A COUPLE	361
170644	THAT WAS	358
88632	THE NETWORK	357
181939	IT DID	355
40967	NOT A	353
112319	ON A	353
164023	AFTER A	353
22301	AND WAS	352
35300	AND A	352
151240	I CAN'T	351
129886	FOR THIS	350
148762	WAS THE	349
58507	IS THAT	349
6692	PIECE OF	348
4838	SUPPORT AND	348
46987	TO IT	348
135233	I DO	347
173685	I GET	346
60203	BECAUSE I	345
187766	THE 5GHZ	343
79307	ROUTER WAS	341
157389	UP TO	339
97949	BECAUSE IT	337
169009	THIS TO	335
135666	THIS UNIT	335
5494	HAVE THE	335
104455	THE ONLY	333
175359	PURCHASED THIS	333
82706	ALL OF	333
80770	LESS THAN	333
158199	FOR MY	330
