	name	count
16353	ONE STAR	658
17976	THREE STARS	408
8278	TWO STARS	310
4901	NOT WORK	214
13964	THIS ROUTER	206
12672	DO NOT	196
11786	DOES NOT	185
14851	IT WORKS	173
5490	NOT BUY	153
6774	DID NOT	131
4825	FOR A	122
13482	IF YOU	121
10020	THIS PRODUCT	117
15134	CUSTOMER SERVICE	117
9941	IS A	114
11495	DON'T BUY	114
939	TECH SUPPORT	113
1510	OF THE	111
93	I HAVE	110
10433	IT WAS	106
5071	BUY THIS	105
17664	WASTE OF	103
8541	SET UP	102
5415	BUT NOT	102
16796	NOT WORTH	90
3475	DOESN'T WORK	89
3693	DIDN'T WORK	86
14554	WHEN IT	85
16416	IS NOT	85
15495	WOULD NOT	83
15021	TO BE	82
10606	EASY TO	82
8403	NOT A	80
18747	WASTE YOUR	79
3506	YOUR MONEY	78
5916	IT IS	77
11180	WORK WITH	75
10754	PIECE OF	74
5238	STOPPED WORKING	74
13014	TO GET	72
13567	FOR ME	72
2997	CUSTOMER SUPPORT	72
11706	THIS IS	72
3123	A GOOD	71
16940	TO WORK	70
955	IT WORKED	68
11331	OF MONEY	67
14458	SUPPORT IS	67
3479	FOR THE	67
3797	AND IT	66
12226	THE ROUTER	66
6503	WORTH THE	65
15957	RANGE EXTENDER	65
4060	NOT AS	65
7414	TO SET	64
8897	IN THE	63
5125	HAD TO	63
4176	GREAT FOR	62
16659	AFTER MONTHS	62
13973	BUYER BEWARE	62
5337	AT ALL	62
8542	VERY DISAPPOINTED	61
4396	DON'T WASTE	61
2614	IT TO	61
3373	WITH THIS	60
16960	WORK FOR	59
12328	HAVE TO	58
10642	ROUTER IS	58
2317	WORKS GREAT	57
11699	I WOULD	57
1292	GOOD BUT	57
12936	I HAD	57
15290	I AM	56
18354	BUT IT	55
4670	WORKED FOR	55
8649	BETTER THAN	55
14371	WITH THE	54
19125	A FEW	53
12465	ROUTER BUT	53
6220	NOT GOOD	53
9214	GET IT	53
8707	WORKED GREAT	52
7846	WORKS BUT	52
162	GOOD FOR	52
18924	OUT OF	51
2644	NOT SO	51
7904	ON THIS	51
4083	THE PRICE	50
5085	WORKED FINE	50
10527	THE PRODUCT	50
15722	I BOUGHT	50
14043	THIS DEVICE	50
15433	I WAS	49
7952	WAS A	49
15152	STAY AWAY	48
6113	WITH A	48
2783	AND I	48
3549	GOOD ROUTER	46
13756	WITH MY	46
6305	AND THE	45
3231	PRODUCT IS	44
4164	NOT GREAT	43
13112	WORKS WELL	43
8559	WORKING AFTER	43
8811	A YEAR	43
18001	TO CONNECT	43
14192	WORKS FINE	43
1368	NOT THE	43
1265	THE WORST	43
6941	NETGEAR SUPPORT	42
9377	BUY IT	42
10046	THE MONEY	42
2886	ROUTER AND	42
9595	WHAT I	41
15786	CONNECT TO	41
6670	AS ADVERTISED	41
4867	TO THE	41
13015	ON THE	39
8260	IN A	39
3840	YOU HAVE	39
16910	THE BEST	39
16751	HAVE A	39
18751	IS THE	39
7680	FROM NETGEAR	38
8767	LESS THAN	38
6277	THE BOX	38
4830	COULD NOT	38
15540	NOT RECOMMEND	38
6506	GOOD PRODUCT	38
460	THE RANGE	37
281	YOUR TIME	36
18898	WILL NOT	35
5232	AS A	35
17464	A BETTER	35
14455	TO RETURN	35
12522	AFTER A	35
15724	NO GOOD	35
408	OK BUT	35
15864	VERY POOR	35
16399	SO FAR	34
2518	WAS EASY	34
18972	A NEW	34
17776	RANGE IS	34
9823	AT FIRST	34
17133	TO USE	33
13345	PRODUCT AND	33
14109	NOT HAPPY	33
17295	A WASTE	33
6552	THIS ONE	33
6367	THE TIME	32
17714	MY OLD	32
18824	MUCH BETTER	32
9250	PROBLEMS WITH	32
12495	FROM THE	32
10999	A WEEK	32
9944	UP TO	32
8737	PARENTAL CONTROLS	31
12843	NOT RELIABLE	31
13794	NOT SURE	31
18637	SO I	31
13734	WORTH IT	31
13722	TRYING TO	31
11776	OF JUNK	31
4271	WINDOWS 10	31
13090	A GREAT	31
13280	PAY FOR	30
11727	NETGEAR ROUTER	30
11901	WIFI RANGE	30
15309	NETGEAR IS	30
6474	ROUTER FOR	30
19085	GREAT BUT	30
4156	OF TIME	30
1197	FINE FOR	30
1703	I EXPECTED	30
4746	ALL THE	30
7287	LIKE IT	30
13587	BUT I	30
17560	IT WOULD	30
6545	TIME AND	30
156	OF MY	30
3554	WANT TO	29
8216	WHAT YOU	29
49	WOULD BE	29
8440	I PURCHASED	29
6498	AS GOOD	29
17923	THIS THING	29
287	A MONTH	29
13942	DROPS CONNECTION	29
1730	THE INTERNET	29
14787	I GOT	29
7375	NOT FOR	29
3322	PRODUCT BUT	29
14119	OF THIS	29
13394	IT DOES	29
13559	TO MY	28
9321	FOR ABOUT	28
7966	SEEMS TO	28
5267	NOT WHAT	28
16933	GOOD AS	28
15289	THE SAME	28
10649	WORK AS	28
7073	TECHNICAL SUPPORT	28
7683	WANTED TO	27
4145	INTERNET CONNECTION	27
3659	TO INSTALL	27
4494	YOU ARE	27
14345	THE SIGNAL	27
15430	FOR MONTHS	27
2083	MORE THAN	27
14367	YOU WANT	26
8571	A LOT	26
6121	AS I	26
14366	FEW MONTHS	26
18381	THAN MY	26
10400	WORST ROUTER	26
10137	SUPPORT WAS	26
15902	A BAD	26
14177	GREAT PRODUCT	25
7568	AS THE	25
6791	A ROUTER	25
13877	WAS NOT	25
14348	GREAT ROUTER	25
12622	A LITTLE	25
11682	ABLE TO	25
16107	BEWARE OF	25
23	THE WIFI	25
12715	NOT GET	24
9234	BUT THE	24
9025	SO MUCH	24
1467	MY ROUTER	24
11048	RECOMMEND THIS	24
3616	NOT RECOMMENDED	24
16463	BUY A	24
1909	THE FIRST	24
690	POOR PERFORMANCE	24
17011	SAVE YOUR	24
3513	NOT VERY	24
8791	AVOID THIS	23
16255	ISSUES WITH	23
8356	SOMETHING ELSE	23
1793	BE A	23
254	DON'T BOTHER	23
16184	WIRELESS ROUTER	23
1853	THAN THE	22
18624	POOR QUALITY	22
18471	YOU PAY	22
5290	IT DOESN'T	22
2387	GREAT WHEN	22
15754	WORST CUSTOMER	22
13870	WORK AND	22
381	BOUGHT THIS	22
8890	WEAK SIGNAL	22
13123	SIGNAL STRENGTH	22
19029	THE EXTENDER	22
2622	THIS EXTENDER	22
18948	A COUPLE	22
