	name	count
80899	A LINK TO	4017
84274	EMAIL US AT	3663
77197	LINK TO THIS	3136
64614	PLEASE EMAIL US	2988
33305	US AT NETGEARTEAM@NETGEAR.COM	2799
66734	TO THIS REVIEW	2768
104685	THE SERIAL NUMBER	2565
47727	TO HELP YOU	1809
23739	AND THE SERIAL	1578
39459	SORRY TO HEAR	1453
74348	INCLUDE A LINK	1426
26373	SERIAL NUMBER ON	1409
87273	AT NETGEARTEAM@NETGEAR.COM WITH	1371
14715	FIRMWARE THAT IS	1365
20519	WITH A LINK	1347
64589	TO HEAR THAT	1342
30429	THAT IS RUNNING	1301
72557	HELP YOU GET	1275
101337	WOULD LIKE TO	1263
19881	OUR SUPPORT TEAM	1257
18360	THE FIRMWARE THAT	1225
34198	RUNNING AND THE	1160
82437	NUMBER ON YOUR	1152
85193	IS RUNNING AND	1142
113202	THAT YOU ARE	1123
51734	SERIAL NUMBER OF	1112
77749	BE HAPPY TO	1099
51095	YOU ARE HAVING	1058
118503	US AT AMAZON@NETGEAR.COM	1044
23116	FEEL FREE TO	1027
38248	LET US KNOW	1017
109374	COPY AND PASTE	1005
7773	A COPY AND	1004
10645	AND PASTE OF	1000
96691	APOLOGIZE FOR THE	987
79140	ARE VERY SORRY	971
27377	ANY OTHER DETAILS	951
77075	NUMBER OF YOUR	941
111099	THE CASE NUMBERS	932
47982	YOU GET A	911
55240	PASTE OF YOUR	887
94756	LINK TO YOUR	860
89619	TO YOUR REVIEW	856
19087	LOOK FORWARD TO	845
60239	HAPPY TO HELP	825
67908	CONTACT OUR SUPPORT	820
65760	YOU PLEASE EMAIL	772
82176	CAN YOU PLEASE	768
98035	CAN HELP YOU	768
86955	SO WE CAN	763
8307	FOR THE TROUBLE	761
54788	CAN EMAIL US	761
79080	THIS REVIEW AND	750
79747	PLEASE FEEL FREE	747
31052	REVIEW WITH ANY	735
46163	THIS REVIEW WITH	729
113492	WITH ANY OTHER	727
54910	YOU CAN EMAIL	724
91616	YOUR CONTACT INFORMATION	722
42189	DETAILS THE FIRMWARE	717
34233	EMAIL US WITH	712
109676	AND WANT TO	711
109882	LIKE TO HELP	705
123565	WE CAN HELP	705
50808	IF YOU HAVE	704
9684	OF YOUR REVIEW	695
67297	WE'D LIKE TO	684
86502	WILL BE HAPPY	681
73145	SUPPORT TEAM AT	670
72054	OTHER DETAILS THE	662
110373	YOU HAVE ANY	656
82248	PLEASE LET US	651
91828	HEAR THAT YOU	636
121954	AS SOON AS	625
67987	YOU NEED TO	619
98570	YOU GET THE	619
75847	AT AMAZON@NETGEAR.COM WITH	613
58277	GET A CHANCE	611
47389	ALONG WITH A	609
86158	REVIEW AND THE	608
69285	TO EMAIL US	606
66920	NETGEARTEAM@NETGEAR.COM WITH THE	599
37326	AND A LINK	587
74893	ARE SORRY TO	584
38196	NETGEARTEAM@NETGEAR.COM WITH A	577
18142	TO INCLUDE A	576
15812	AND WOULD LIKE	573
5898	US YOUR CONTACT	566
33344	ARE SO SORRY	556
68863	WE WILL BE	548
17330	EMAIL US YOUR	545
97507	SOON AS YOU	527
97025	CONTACT INFORMATION ALONG	527
76500	INFORMATION ALONG WITH	526
103951	WITH THE CASE	512
33377	HELP YOU WITH	507
10834	TO EARN YOUR	507
122921	YOUR REVIEW TO	504
76008	PLEASE REMEMBER THAT	495
50513	THAT WE ARE	492
43312	CASE NUMBERS THAT	485
25751	TO DO IS	478
120917	FREE TO EMAIL	476
85510	WE ARE ALWAYS	467
27775	NEED TO DO	465
42293	SUPPORT GAVE YOU	460
26981	SORRY FOR THE	459
38998	THIS REVIEW THE	456
86976	US DIRECTLY AT	455
8555	ANY CASE NUMBERS	454
54310	MORE THAN TO	453
80972	TO CONTACT US	448
23380	TO SEE IF	447
58340	EMAIL US DIRECTLY	447
16073	WE WOULD LIKE	444
116714	EARN YOUR BUSINESS	443
41991	WITH A COPY	437
