	name	count
12447	ROUTER	11996
16702	NETGEAR	6699
19955	SUPPORT	3955
17710	GET	3926
18133	WOULD	3822
14980	WORK	3685
939	PRODUCT	3001
21893	WIFI	2940
6394	SIGNAL	2601
11355	CONNECTION	2587
5866	INTERNET	2558
19970	TIME	2507
3868	EXTENDER	2465
7889	WIRELESS	2211
12119	DEVICE	2137
1934	NETWORK	2041
11083	PROBLEM	2029
21682	EVEN	2010
9588	RANGE	1974
1626	DEVICES	1933
21454	FIRMWARE	1902
2618	IT'S	1868
20234	CONNECT	1840
9222	COULD	1824
3767	WORKED	1788
1056	WORKS	1766
19774	WORKING	1711
4245	SET	1682
10086	USE	1671
12226	LIKE	1643
2136	GREAT	1550
6883	BOUGHT	1549
18591	TRIED	1523
21796	WELL	1513
20885	UNIT	1502
6964	SPEED	1437
13588	BUY	1426
4053	BETTER	1419
7016	GOT	1418
17009	I'M	1411
11504	DON'T	1405
18656	MONTHS	1384
17638	ISSUE	1382
20670	FIRST	1355
10826	STILL	1344
14332	CONNECTED	1321
4046	SERVICE	1303
8017	RETURN	1285
10978	TECH	1284
11696	HOUSE	1268
7892	USING	1233
14324	DAYS	1228
20875	NEVER	1222
19675	ANOTHER	1208
461	ALSO	1196
15571	AMAZON	1144
17095	SETUP	1136
18719	HELP	1120
3971	RESET	1112
4088	MODEM	1097
14794	MUCH	1090
793	TIMES	1088
1851	PHONE	1081
6084	FINE	1073
17754	I'VE	1059
13636	DIDN'T	1051
9448	REALLY	1039
14881	CUSTOMER	1032
11695	ACCESS	1032
7184	HOURS	1025
1014	ISSUES	1018
14289	DOESN'T	1001
302	PURCHASED	994
13094	EVERY	982
10436	THING	971
17311	HOME	955
11712	PROBLEMS	934
8798	GO	932
756	SINCE	922
14874	ABLE	910
14813	GOING	907
20128	CAN'T	879
17470	EASY	875
19876	NEED	865
7275	TRYING	840
9271	GETTING	838
10622	COMPUTER	824
3058	HOWEVER	820
16567	DIFFERENT	814
21879	ROUTERS	809
18292	MONEY	791
5254	RETURNED	776
11607	BAND	772
19941	CALLED	771
3681	CABLE	754
5200	POWER	747
1880	MINUTES	738
4214	TRY	737
15084	USED	736
1947	WAY	735
5760	REVIEWS	721
13457	FIX	712
6899	NOTHING	711
4263	SEVERAL	708
3707	WITHOUT	706
14931	WANT	701
13917	SETTINGS	701
18849	KNOW	692
15941	5GHZ	691
7676	SOMETHING	687
19894	FINALLY	684
13846	UPDATE	683
6456	PURCHASE	680
7925	MAKE	678
1842	SAID	675
14477	SPEEDS	668
3108	WARRANTY	665
8238	SEEMS	662
5916	WIRED	659
1790	AWAY	655
2612	EVERYTHING	649
13127	POINT	649
7685	WENT	648
16801	BOX	643
16417	THOUGH	633
20901	TOLD	623
6893	YEARS	618
3645	SOFTWARE	614
21187	PRODUCTS	614
17540	FIND	614
3982	LAST	609
8287	PAY	600
17430	CALL	599
1279	CONNECTIONS	598
10608	LESS	596
17740	SURE	596
3546	USB	595
13742	THOUGHT	591
8584	DROPS	590
1942	STARTED	584
6682	WEEK	581
4964	10	576
5955	NUMBER	575
14378	RECOMMEND	569
10875	DISAPPOINTED	558
20500	ETHERNET	556
18277	LAPTOP	551
21369	NIGHTHAWK	549
19882	SLOW	545
7727	ITEM	543
1902	HARD	542
12732	MAY	540
12914	ASUS	539
15563	LINKSYS	536
17895	NEXT	533
10464	ROOM	533
21851	SPENT	532
896	REBOOT	531
9202	PERFORMANCE	527
18897	STOPPED	522
10737	WANTED	517
9149	FOUND	516
11018	REVIEW	514
10567	MBPS	511
17029	PRETTY	510
3288	SECOND	502
21127	EVER	496
20532	WI-FI	494
3030	PRICE	491
1230	INSTRUCTIONS	489
5782	WEEKS	474
15230	REPLACEMENT	474
5447	REPLACE	473
17138	ONLINE	471
19671	END	471
15784	FAST	470
11895	DROPPING	470
18241	NEEDED	469
16748	30	469
19643	MODEL	469
8283	COULDN'T	469
3526	HOUR	468
19003	COUPLE	468
9595	AROUND	463
7165	FEET	463
18917	GHZ	462
14167	MAC	460
19875	CANNOT	455
17334	90	448
14141	LINE	448
15041	MONTH	447
8353	GAVE	443
17581	REASON	440
21287	ACTUALLY	439
13195	FACTORY	439
7666	WON'T	438
5338	WINDOWS	433
3343	EITHER	432
6544	LOT	430
21791	CONSTANTLY	429
19175	IP	429
17630	PEOPLE	428
19453	ENOUGH	427
1567	ADDRESS	427
320	PASSWORD	426
15870	EXPERIENCE	424
3585	TOOK	424
13654	HARDWARE	423
1541	LEAST	421
12147	RUNNING	419
14234	BEST	418
6943	BRAND	416
8111	COMPANY	415
16957	PUT	413
8372	KEEP	412
17535	LITTLE	410
7334	WEB	409
15875	WASTE	405
822	SYSTEM	404
234	VIA	403
5111	TECHNICAL	402
18721	STRENGTH	402
