	name	count
10379	DON'T WASTE MONEY	32
701	DON'T WASTE TIME	26
3870	WASTE TIME MONEY	20
10824	WORST CUSTOMER SERVICE	19
3178	WIFI RANGE EXTENDER	17
4830	STOPPED WORKING MONTHS	16
7654	POOR CUSTOMER SERVICE	14
4269	BUY SOMETHING ELSE	14
12091	TERRIBLE CUSTOMER SERVICE	14
3932	NETGEAR CUSTOMER SERVICE	13
5016	COULD GET WORK	13
12210	WORST ROUTER EVER	12
6989	NETGEAR TECH SUPPORT	12
12449	COULDN'T GET WORK	12
964	CUSTOMER SERVICE EVER	11
4232	DON'T BUY ROUTER	11
11111	TECH SUPPORT USELESS	9
1065	OBTAIN IP ADDRESS	8
6267	CUSTOMER SERVICE SUCKS	8
9163	WORKED GREAT FIRST	8
11141	UNABLE OBTAIN IP	8
5839	DIDN'T WORK US	8
5629	WORKS MUCH BETTER	8
6190	HORRIBLE CUSTOMER SERVICE	8
11900	WORST ROUTER I'VE	7
5832	STAY AWAY NETGEAR	7
8289	SAVE MONEY BUY	7
9262	DUAL BAND WI-FI	7
11309	WI-FI GIGABIT ROUTER	7
9890	WI-FI RANGE EXTENDER	7
3839	KEEPS DROPPING CONNECTION	7
9673	NETGEAR CUSTOMER SUPPORT	7
8888	ROUTER I'VE EVER	7
11023	DOESN'T WORK WELL	6
6981	RANGE EXTENDER ACTUALLY	6
7983	WORKED GREAT MONTH	6
4584	ADDRESS UNABLE OBTAIN	6
7302	RANGE EXTENDER MUCH	6
6441	POOR QUALITY CONTROL	6
2542	CALL TECH SUPPORT	6
3751	POOR TECHNICAL SUPPORT	6
4001	EXTEND 5GHZ NETWORK	6
7712	NEVER ABLE GET	6
10275	WORKED MUCH BETTER	6
10335	IP ADDRESS UNABLE	6
10613	POOR CUSTOMER SUPPORT	6
507	STOPPED WORKING DAYS	5
10643	DON'T BUY NETGEAR	5
3093	BUY ANOTHER NETGEAR	5
6297	BAND WI-FI GIGABIT	5
11216	NEVER BUY ANOTHER	5
960	WORKED FINE FIRST	5
390	WORKED FINE MONTHS	5
11836	DONT WASTE MONEY	5
1488	PRODUCT POOR SUPPORT	5
1410	DESKTOP WIFI RANGE	5
6518	WORST SUPPORT EVER	5
6462	APPLE AIRPORT EXTREME	5
2206	CUSTOMER SERVICE HORRIBLE	5
6074	NEVER BUY NETGEAR	5
7443	PURCHASE RANGE EXTENDER	5
257	WORKING 10 MONTHS	5
9341	NETGEAR NIGHTHAWK AC1900	5
11590	COMPLETE WASTE MONEY	5
11613	WORKING LESS MONTH	5
24	WORKED GREAT MONTHS	5
6826	DON'T MAKE MISTAKE	5
7563	WASTE MONEY TIME	5
8426	BUY NETGEAR PRODUCT	5
6934	WIRELESS ACCESS POINT	5
4476	READY PRIME TIME	5
1564	REALLY WANTED LIKE	5
10286	ROUTER DIDN'T WORK	5
11138	PRODUCT CUSTOMER SUPPORT	5
9147	NETGEAR AC1200 DESKTOP	4
1927	NETGEAR'S TECH SUPPORT	4
2566	POOR TECH SUPPORT	4
11792	BUY SOMETHING BETTER	4
9539	N750 DUAL BAND	4
6837	HOURS TECH SUPPORT	4
12146	CAN'T GET WORK	4
7185	GET BETTER SIGNAL	4
5687	DOESN'T WORK TIME	4
4985	WOULD RECOMMEND ROUTER	4
8200	PIECE GARBAGE NETGEAR	4
7719	AVOID LIKE PLAGUE	4
6971	BUY LINKSYS INSTEAD	4
3919	DROPS CONNECTION EVERY	4
3773	WORK TIME MACHINE	4
8849	STOPS WORKING EVERY	4
7766	STARTED DROPPING INTERNET	4
6383	DROPS INTERNET CONNECTION	4
1237	RECOMMENDED INABILITY SETUP	4
9749	READ FINE PRINT	4
5447	AC1200 DESKTOP WIFI	4
9979	SPEND MONEY ELSEWHERE	4
8172	WORK WINDOWS 10	4
7782	PRODUCT TERRIBLE CUSTOMER	4
11515	BUYER BEWARE PRODUCT	4
7131	14 MONTHS BUYING	4
6325	WORKED WELL MONTHS	4
7874	TERRIBLE TECH SUPPORT	4
3514	NEVER COULD GET	4
1137	MODEM WORKS FINE	4
5054	TERRIBLE CUSTOMER SUPPORT	4
12387	ANOTHER NETGEAR PRODUCT	4
12127	GARBAGE WEAK SIGNAL	4
7733	TERRIBLE PRODUCT TERRIBLE	4
10553	WORKED FINE COUPLE	4
2610	SLOW DOWNLOAD SPEED	4
10365	UNIT WORKED FINE	4
8312	POOR QUALITY SUPPORT	4
9371	TIME MACHINE LION	4
11909	RANGE SIGNAL STRENGTH	4
10621	NETGEAR N750 DUAL	4
6770	WIFI STOPPED WORKING	4
7453	GET BETTER WIFI	4
5789	NETGEAR'S CUSTOMER SERVICE	4
1740	GET SIGNAL ROUTER	4
11851	TOTAL WASTE MONEY	4
7480	POOR PRODUCT POOR	4
4594	WORKS GREAT ROOM	4
12198	SUPER EASY SETUP	4
497	TECH SUPPORT EVEN	4
1403	175 PAID INCREASED	3
5137	WORSE CONNECTED DEVICE	3
1404	FINALLY BECOME CONVINCED	3
9158	WORKED FINE PROBLEM	3
1401	IT'S GREAT NEED	3
5150	BOOST HARDWR NORMAL	3
9286	FRUSTRATING NON-FUNCTIONING PRODUCT	3
8984	POOR PRODUCT WI-FI	3
4706	SIGNAL ROUTER HOUSE	3
5164	REFUSES EXTEND 5GHZ	3
9292	REQUIRES HARD RESET	3
1405	FREQUENTLY LOCKS REQUIRING	3
9274	POORLY THING MADE	3
4723	CONNECTING ROUTER GHZ	3
4724	SUPPORT RECOMMENDED ANOTHER	3
5130	PAY TECH SUPPORT	3
9294	NECESSARY READJUSTED SYSTEM	3
11536	10 LINE SIGHT	3
9002	CONNECTION ISSUES PS4	3
5119	WIFI HOUSE WORSE	3
9268	EASY EXTENDER GRADUALLY	3
9264	MONTH LESS CONNECT	3
5112	QUALITY HIGH OVERPRICED	3
5108	EXTENDER NETGEAR YET	3
9009	GREAT WISH COULD	3
11528	UNITS WORK OTHERS	3
1432	MIGHT WORK CAN'T	3
11519	ITEM WORKS TEMPORARILY	3
4699	OK EXTENDER POOR	3
5179	EASY REGISTER COULDN'T	3
9296	WELL HARDLY GO	3
4663	X4 AC2200 WIFI	3
4620	BUY PIECE GARBAGE	3
11591	WOULD LOVE KNOW	3
4623	SET HARDWARE GET	3
1333	EXTENDERS WORKED FINE	3
11323	DROPS WIFI BROADCAST	3
9333	SYSTEM ALREADY COMPATIBLE	3
1335	DICONNECTS RANDOMLY ROUTER	3
8935	WOULD PERSON LITTLE	3
1708	COULD BETTER COULD	3
11327	UPDATE 1.0.0.36 1.0.0.38	3
4638	WORK DOESN'T MEAN	3
8936	PLUG DISRUPTS ELECTRONICS	3
4655	INSTALL WOULD BUY	3
1339	HELL TWILIGHT ZONE	3
5169	SPEED MUCH SLOWER	3
9318	DURABLE ENOUGH RECOMMENDATION	3
1344	HOUR TIME TRYING	3
1688	EXPENSIVE PAPER WEIGHT	3
5222	NORMAL ROUTER GONNA	3
8956	MAIN ROUTER SIGNAL	3
4693	ADDS CONNECTION EXTENDS	3
5197	SUPPORT CORRUPTED USB	3
11570	REFURBISHED RANGE EXTENDER	3
4695	RANGE EXTENDER CONNECTED	3
8965	GO ALONG NETGEAR	3
11518	ENOUGH WORDS DESCRIBE	3
1374	WORKS GREAT IT'S	3
8973	MONEY BUY RELIABLE	3
9260	CONNECT DESPITE HOURS	3
9033	LASTED 44 WEEKS	3
9026	FIRST TIME...NOT MUCH	3
9120	ROUTER PRACTICE MAKE	3
9176	JUNK POOR QUALITY	3
1569	SINCE MID JULY	3
9130	3.0 HARD DRIVE	3
11451	THING EASY CONFIGURE	3
11453	RANGE EXTENDER EX7300	3
9183	ANOTHER SETTINGS TWEAK	3
4950	MAJOR DISAPPOINTMENT FIRST	3
9109	HELPED LITTLE VIDEO	3
1508	EXTENDING NETGEAR WIRELESS	3
1572	GREAT QUIT REASON	3
11420	ADAMANTLY REFUSES EXTEND	3
4859	ETHERNET CABLE TRY	3
11418	ACCESS POINT POOR	3
9197	CONNECTING DIRECTLY NETGEAR	3
1330	DEVICE CONSISTENTLY DISCONNECTS	3
4881	RECOMMENDED BUY ETHERNET	3
1525	POORLY DESIGNED DEVICE	3
11449	BETTER OVERALL RETURNING	3
4925	BUY RELIABLE UNIT	3
1560	RE-NAMED NETWORK UNFORTUNATELY	3
4923	GREAT EASY USE	3
11447	COMPUTER GENIUS LOVE	3
4922	ESTABLISHED NETWORK COULD	3
11440	GREAT BOX EXTENDING	3
4910	USB DRIVE FILES	3
11427	EVERY MONTHS NETGEAR	3
4883	BUY BETTER LIKE	3
1557	DUAL BAND ROUTER	3
11429	CONNECTED PROBLEM 5X	3
11436	WON'T PURCHASE RECOMMEND	3
4897	PICK INTERNET FINE	3
4962	GLITCHY FIRMWARE FINICKY	3
9103	WORKS WELL SIMPLIFIED	3
4750	POOR DIRECTLY CONNECTING	3
5060	OPENED USED PREVIOUSLY	3
1616	SUPPORT SUCKS GET	3
9240	CONSTANTLY DROPS CONNECTION	3
4781	RANGE EXTENDER 1/2	3
4770	MADE THINGS WORSE	3
9249	OTHERS POWER CYCLE	3
4762	SATISFACTORY KNOBS SIDE	3
9042	WARRANTY RAN SERVICE	3
11414	WORSE PERFORMANCE CONNECTING	3
9040	RANGE EXTENDER EX6200	3
5066	GREAT RANGE LOW	3
11507	EASY SET HARDWARE	3
5067	FIRST UNIT ARRIVED	3
9160	CONNECTION ACTUAL INTERNET	3
11514	COVERAGE SPEED MUCH	3
4802	WONT CONNECT ROUTER	3
1600	BROKEN GHZ AC2200	3
9050	CONNECT CERTAIN TYPES	3
5044	WORKS WELL SOMETIMES	3
11496	LIKE GOING BIN	3
1467	WITHOUT DOUBT WORST	3
5040	DOWNLOAD 1-2MB'S EASY	3
5034	COMMUNICATION BARRIER HORRENDOUS	3
5033	BEWARE INTERNET WORSE	3
9062	LOW QUALITY HIGH	3
9067	TIME WARNER RECENTLY	3
4831	ACTUALLY EXTEND NETWORK	3
9211	USELESS COMMUNICATION BARRIER	3
9208	ISSUES 5GHZ BAND	3
9204	BIT PROBABLY WASTE	3
9087	AWAY NETGEAR PRODUCTS	3
4987	SLOW INTERNET SPEED	3
7435	DONT LIKE CONNECTIONS	3
1256	SEVERAL WAYS CONNECT	3
1326	WEB SITE GET	3
5816	READY GET PAY	3
1005	MUCH BETTER OPTIONS	3
5795	TRY SEVERAL WAYS	3
997	EXTENDER DOESNT WORK	3
5798	60 FEET AWAY	3
994	FASTLANE HALF FAST	3
11813	DRIVE FILES BUYING	3
992	WARRANTY SERVICE PART	3
991	NETWORK HELL TWILIGHT	3
5809	AWFUL ENOUGH WORDS	3
5825	PRODUCT STOPPED WORKING	3
942	RADIUS AWFUL CONNECTION	3
5834	DISAPPOINTING PRODUCT PRICE	3
8522	NETGEAR SUPPORT RECOMMENDED	3
5836	OK LIMITED RANGE	3
5837	WOULD SOLUTION GET	3
8518	PROVIDE RELIABLE NETWORK	3
5843	NETGEAR WIRELESS NETWORK	3
957	WELL BRAND MODEMS	3
8510	WORKING EVERY SEVERAL	3
8499	MODERATE BEST COULD	3
11804	INCREDIBLY FRUSTRATING NON-FUNCTIONING	3
8557	CONNECTED WEP SWITCHED	3
5771	DEFINITELY EASY CONNECT	3
5767	RECOMMEND PURCHASE INADEQUATE	3
8622	SELLER PLEASE RETURN	3
11773	LIFE BUY NETGEAR	3
8606	3200 ROUTER WANTED	3
5701	RECEPTION UPSTAIRS DOWNSTAIRS	3
8604	EX6200 CONNECTION NETGEAR	3
5705	POSITIONED 60 FEET	3
11777	WORKS FINE 3-5	3
11780	RANGE LOW BANDWITH	3
5716	EXTENDER BETTER OVERALL	3
1040	MEAN PRODUCT UNUSUAL	3
5722	MAJOR HEADACHE WORTHLESS	3
1036	ESPECIALLY SINCE RESEARCH	3
8581	RANDOM CONNECTION REDIRECTS	3
5743	GOING NEXT E-TRASH	3
8573	15 OFF-BRAND TRAVEL	3
5753	WELL CONSTANT DROPPED	3
1020	PURCHASED PRODUCT REVIEWS	3
5763	FELT LIKE TAKEN	3
8564	WOULD GREAT CONNECTIONS	3
8489	NIGHTHAWK X8 TRI-BAND	3
8481	LEAVES SOMETHING DESIRED	3
1070	KEEP MIND SPEED/DISTANCE	3
11914	SET DOESN'T CLOSE	3
8405	RETURN WINDOW CLOSED	3
865	PRODUCT WORKS GREAT	3
8401	RECOMMENDED ANOTHER SETTINGS	3
6007	DOESN'T MEAN PRODUCT	3
6009	MOBILE DEVICES ROOMATE'S	3
8392	DESPITE 10 LINE	3
6023	PAY TECHNICAL SUPPORT	3
6024	NETGEAR PRODUCT PURCHASED	3
8370	AWFUL PRODUCT SUPPORT	3
6044	PRIMETIME USED NETGEAR	3
11858	WIFI SIGNAL ACTUALLY	3
6055	PRODUCT PRICE POINT	3
11924	WORKS BETTER EXPECTED	3
6058	WORKS IT'S LIMITED	3
6064	PURCHASED GO ALONG	3
8354	LOOKS LIKE STILL	3
825	AC2200 WIFI RANGE	3
824	WORK TECH SUPPORT	3
11928	R8500 REPLACED ASUS	3
6082	SLOWER VS ROUTER	3
8406	NETGEAR FULLY FUNCTIONING	3
8407	BETTER SIGNAL UPSTAIRS	3
8410	DON'T BELIEVE HYPE	3
8411	SET ASUS MEDIA	3
930	SLOW 2.4 GHZ	3
5906	ROUTER DIED MONTHS	3
11866	TRYING GET BETTER	3
917	SUPPORT REFURBISHED ITEMS	3
5920	SIGNAL ACTUALLY WORSE	3
5921	SUPPORT USELESS COMMUNICATION	3
