	name	count
1347	EMAIL US	6050
5874	LINK REVIEW	3625
43755	PLEASE EMAIL	3116
51006	SERIAL NUMBER	3020
38573	US NETGEARTEAM@NETGEAR.COM	2819
58203	FIRMWARE RUNNING	1679
12534	WOULD LIKE	1637
46386	INCLUDE LINK	1476
32871	SUPPORT TEAM	1450
60197	HELP GET	1432
45660	CASE NUMBERS	1417
54166	CONTACT US	1324
43878	LET US	1270
4312	RUNNING SERIAL	1219
52343	US AMAZON@NETGEAR.COM	1059
5620	US KNOW	1051
38439	FEEL FREE	1034
57367	CONTACT SUPPORT	1017
60570	COPY PASTE	1006
16071	ANYTHING ELSE	958
19992	LIKE HELP	921
54276	NUMBERS SUPPORT	894
9947	REVIEW DETAILS	859
62528	MAKE SURE	849
20420	LOOK FORWARD	847
2167	HAPPY HELP	836
54713	PASTE REVIEW	810
61455	PLEASE CONTACT	792
31279	WE'D LIKE	758
22680	US DIRECTLY	756
54976	PLEASE FEEL	750
10751	CONTACT INFORMATION	729
53359	DETAILS FIRMWARE	718
20886	PLEASE LET	685
48047	CURRENT FIRMWARE	663
35992	YOU.REGARDS,NETGEAR TEAM	613
29998	GET CHANCE	612
16267	ALONG LINK	574
18708	US CONTACT	574
10399	SUPPORT GAVE	572
1164	PLEASE REMEMBER	563
58201	NETGEARTEAM@NETGEAR.COM LINK	533
58037	INFORMATION ALONG	533
28862	APOLOGIZE TROUBLE	501
13316	SURE INCLUDE	498
1889	SORRY TROUBLE	498
47091	FREE EMAIL	488
42056	ISN'T WORKING	477
6492	REVIEW FIRMWARE	474
13903	HARDWARE WARRANTY	466
36590	WANT HELP	460
38519	NUMBER UNIT	455
19806	LET KNOW	453
56890	EARN BUSINESS	444
54400	INCLUDE SERIAL	437
41794	NEED EMAIL	429
21468	WANT APOLOGIZE	426
36985	WANT INCLUDE	423
41133	TEAM SUPPORT.NETGEAR.COM	423
21592	HELP PLEASE	419
37113	INVESTIGATE CASE	410
60503	REVIEW CURRENT	399
52435	NEED HELP	377
10177	ALWAYS STANDING	375
56113	REVIEW SERIAL	367
219	CHANCE PLEASE	365
60371	NEED ANYTHING	365
25232	WANT GET	364
59372	LIKE INVESTIGATE	353
29593	WORKING PERFECTLY	352
10644	REGARDS,NETGEAR TEAM	351
4686	PLEASE INCLUDE	349
28259	NETGEARTEAM@NETGEAR.COM INCLUDE	349
48152	NETGEARTEAM@NETGEAR.COM CASE	342
18332	NETGEAR PRODUCT	340
16143	ALSO INCLUDE	329
4013	WANT LET	321
46982	FORWARD HEARING	320
62512	REVIEW CASE	319
13241	LATEST FIRMWARE	316
24744	LIKE GET	315
34511	AMAZON@NETGEAR.COM COPY	311
33267	NEED INCLUDE	310
60324	WORKING LIKE	305
52072	GET BEST	302
46392	SOUNDS LIKE	299
46035	GET FIXED	297
20123	SOON GET	296
25723	WORKING PROPERLY	295
55119	FREE CONTACT	293
34228	PLEASE GET	292
20930	INCLUDE CASE	291
39931	US HELP	290
60843	GET CONTACT	285
11960	WANT INVESTIGATE	282
12719	AGAIN.REGARDS,NETGEAR TEAM	273
7388	ELSE PLEASE	269
36054	FIRMWARE VERSION	269
3575	NETGEAR SUPPORT	266
4366	SPEED THINGS	264
36128	WANT NOTHING	263
52514	NETGEARTEAM@NETGEAR.COM SERIAL	259
24731	SUPPORT UNABLE	259
38756	SOON.REGARDS,NETGEAR TEAM	257
20599	BUSINESS AGAIN.REGARDS,NETGEAR	254
49559	GET WORKING	253
37984	CAN'T APOLOGIZE	247
56271	STOPPED WORKING	247
1146	MOMENT PLEASE	246
37085	REACH US	245
28323	TROUBLE PLEASE	243
39744	REVIEW AMAZON@NETGEAR.COM	243
8511	UNABLE HELP	241
44754	APOLOGIZE ENOUGH	241
9420	HELP HARDWARE	236
57719	PLEASE DON'T	236
32366	US CASE	233
