	name	count
984	NOT	1824
628	THE	1544
175	IT	1399
1030	A	1323
2335	TO	1287
541	AND	1152
726	I	1118
87	THIS	982
2284	FOR	930
187	ROUTER	921
1207	ONE	856
281	IS	808
1531	BUT	765
1069	STARS	746
1976	OF	699
1529	STAR	664
1828	WITH	629
178	GOOD	628
3033	NETGEAR	608
1762	WORK	589
2392	PRODUCT	502
2210	GREAT	495
1151	SUPPORT	485
251	WORKS	460
2759	WAS	459
1407	MY	435
446	THREE	430
124	BUY	428
51	IN	384
3216	AS	383
996	YOU	372
653	TWO	361
342	RANGE	342
143	ON	321
3047	HAVE	318
952	DON'T	312
2027	WORKED	301
2676	NO	300
620	VERY	287
2011	BETTER	287
218	DO	276
2055	WIFI	275
2081	AFTER	273
2713	THAT	267
3487	BE	259
1101	UP	258
377	MONTHS	255
2701	MONEY	255
3344	CONNECTION	251
2181	SO	245
482	POOR	244
1430	SIGNAL	242
972	GET	239
3091	DOES	229
1838	BAD	225
2786	EXTENDER	223
2643	TIME	212
825	IF	211
453	AT	210
3255	THAN	209
1066	YOUR	206
957	CUSTOMER	205
211	HAD	201
1373	WASTE	197
2685	WOULD	196
2175	LIKE	195
3497	DISAPPOINTED	193
2301	WORKING	186
3521	FROM	186
256	SERVICE	183
2489	JUST	174
284	ONLY	173
1879	WHEN	173
592	IT'S	171
1360	DOESN'T	165
3476	TERRIBLE	165
1703	DID	164
1068	FINE	160
2214	EASY	158
1291	ALL	157
1229	OUT	155
3140	OK	153
3706	AN	151
2384	INTERNET	151
411	WHAT	149
3519	WIRELESS	148
1117	ME	146
1070	BEWARE	145
1866	JUNK	143
1678	OR	142
2677	HAS	141
1826	DIDN'T	140
3066	WELL	139
2093	DEVICE	137
1549	SET	136
2811	FIRMWARE	134
1093	PROBLEMS	130
3356	SETUP	127
2971	THEN	127
3607	TECH	126
444	HORRIBLE	123
840	PERFORMANCE	120
2796	DROPS	117
3576	WORTH	115
783	MORE	115
1611	SPEED	113
177	MUCH	113
1902	ISSUES	111
798	WORST	110
1904	WILL	109
785	NEW	107
3136	UNRELIABLE	107
79	ABOUT	107
1159	UNIT	105
165	CONNECT	104
2002	BOUGHT	102
1571	USE	100
3683	COULD	99
606	GARBAGE	99
2554	SLOW	98
1683	ARE	97
2992	YEAR	96
423	FIRST	96
3599	REALLY	93
1972	NEVER	88
1570	DAYS	87
1379	OLD	85
1957	PRICE	83
149	RETURNED	81
2053	NETWORK	81
370	BY	80
734	EVER	80
3761	SOME	80
1846	STOPPED	78
3250	STILL	78
2065	USED	77
469	TOO	76
2914	OTHER	76
2906	AGAIN	76
1550	BEST	76
2622	EVEN	75
2559	PIECE	75
915	RETURN	74
203	AWAY	74
573	FAST	73
1780	RECOMMEND	73
465	NOW	73
2115	THEY	71
1859	BACK	70
3665	BECAUSE	70
3111	STAY	70
1342	DEFECTIVE	69
855	EVERY	69
2873	AVOID	69
3246	FEW	69
3085	NEED	68
2038	ITS	67
689	GOT	67
3572	USELESS	67
3605	AM	66
1783	BUYER	66
38	CAN	65
3695	WARRANTY	65
1781	RELIABLE	65
3732	PROBLEM	65
1224	BAND	65
3231	DEVICES	64
1666	CONNECTIONS	64
3532	LESS	63
1300	PURCHASE	63
2708	ITEM	63
330	MONTH	62
272	BEEN	62
2863	DISAPPOINTING	62
2062	SPEEDS	61
2884	ADVERTISED	61
1009	WI-FI	61
3328	WORSE	61
3460	EXPECTED	59
2543	UNTIL	59
1411	QUALITY	59
821	WHICH	58
797	10	58
1018	PURCHASED	57
1412	DROPPING	57
3573	SOFTWARE	57
3134	NICE	57
1349	DIED	56
2089	POWER	56
1062	HAPPY	56
708	WANT	56
3450	AMAZON	55
516	WON'T	54
2340	BOX	54
2501	SHOULD	54
1212	SURE	53
2007	MODEM	53
1108	USB	53
1784	HOUSE	53
906	OVER	53
380	NEEDS	53
3691	I'VE	53
2741	FAR	53
393	NIGHTHAWK	52
2442	I'M	52
962	WINDOWS	52
2090	GO	52
704	DAY	52
604	SOMETHING	51
2674	WE	51
2370	OFF	51
2653	ACCESS	51
2294	HOURS	50
3640	HARDWARE	50
1652	EXTEND	50
2045	OUR	49
2233	CAN'T	49
1553	EXPENSIVE	49
3569	CONSTANTLY	48
137	ANY	48
1150	REFURBISHED	48
1966	HELP	47
1457	EXPERIENCE	47
64	WEAK	47
1811	BUYING	47
92	PRETTY	47
3438	SEEMS	46
1477	SHORT	46
2668	THERE	46
3220	AWFUL	45
3597	LAST	45
3155	FAILED	45
1368	ANOTHER	45
2711	SUCKS	45
1707	WEEK	45
3411	MAKE	44
2810	KEEPS	44
1643	DISCONNECTS	44
1359	CRAP	44
2945	ENOUGH	44
793	OKAY	44
1392	INSTALL	44
2818	DEAD	43
2455	WHILE	43
3628	CONNECTED	43
2356	BEFORE	43
1556	PRODUCTS	43
2099	PARENTAL	43
2300	REVIEWS	43
1372	HARD	43
3391	DISAPPOINTMENT	42
404	CONNECTIVITY	42
2753	SAVE	42
1842	DONT	42
2066	LITTLE	41
1503	ROUTERS	41
768	NOTHING	41
1849	WANTED	41
2195	TIMES	40
2095	BUGGY	40
1165	5GHZ	40
2537	HOME	40
979	SECURITY	40
2134	PAY	40
2470	RECOMMENDED	40
2932	SAME	40
244	WIRED	39
3533	THING	39
899	TRYING	39
2938	BOTH	39
602	INSTRUCTIONS	39
767	SEVERAL	39
429	DIFFICULT	39
818	WEEKS	39
3444	REVIEW	39
3087	UPDATE	38
16	TRIED	38
192	RELIABILITY	38
3588	COULDN'T	38
1188	READ	38
2522	COVERAGE	37
3500	LOOKS	37
762	HOW	37
1118	HAVING	37
356	MODEL	37
2317	DROPPED	36
2973	RESET	36
1658	THEIR	36
3491	KNOW	35
2454	LOOKING	35
509	APPLE	35
1845	ISSUE	35
1319	LONG	35
2980	USING	34
2907	RIGHT	34
2418	SINCE	34
817	ETHERNET	34
327	MANY	34
265	CANNOT	34
2698	MOST	34
2271	MAC	33
2865	TOTAL	33
1279	ACTUALLY	33
1791	BIG	33
2222	CONSTANT	33
186	COUPLE	32
1996	CONTROLS	32
2581	COMPANY	32
1278	RECEIVED	32
2004	SOMETIMES	32
1992	MIGHT	32
1045	BROKEN	32
2458	THOUGHT	32
3361	LASTED	31
1178	GOING	31
933	KEEP	31
3661	LOOK	31
1782	ELSE	31
2401	DECENT	31
1459	STRONG	31
195	FEATURES	31
1332	DOWN	30
2029	LOT	30
481	FRUSTRATING	30
2912	LINKSYS	30
1578	COMPATIBLE	30
699	HIGH	30
540	FREQUENTLY	29
2719	MAY	29
123	INCONSISTENT	29
3471	ASUS	29
1148	INSTALLATION	29
3378	MAJOR	29
1205	GETTING	29
1590	CABLE	28
673	TECHNICAL	28
2135	WERE	28
3080	BRAND	28
2861	COMPUTER	28
434	WOULDN'T	28
20	CALLED	28
2608	CONTROL	28
134	INTERFACE	27
3609	IMPRESSED	27
3722	DIFFERENT	27
2434	LOSES	27
2908	THINK	27
1877	REBOOT	27
1614	LOW	27
25	ONCE	27
3274	STRENGTH	26
760	VERSION	26
2410	PLAY	26
3374	POINT	26
3779	HALF	26
866	POORLY	26
2269	JOB	26
2166	PURCHASING	26
2882	THOUGH	26
877	OFTEN	26
572	UNSTABLE	26
369	COMPLETE	26
153	NEEDED	25
3684	WASTED	25
401	DUAL	25
3641	INSTEAD	25
162	ALSO	25
2490	GHZ	25
787	BOTHER	25
3112	COST	25
577	ABLE	25
2003	INTERMITTENT	25
1297	WAY	25
2338	REPLACEMENT	25
2887	FAILURE	25
427	AC	25
3713	SEE	25
644	QUIT	24
1949	YET	24
3435	WORTHLESS	24
747	LUCK	24
2890	FINALLY	24
3648	USER	24
1577	UNLESS	24
3503	SETTINGS	24
533	SMALL	24
1458	YEARS	24
2189	BIT	24
3657	MADE	24
3424	ANYTHING	23
686	KEPT	23
1403	ISN'T	23
1003	SECOND	23
3327	RETURNING	23
1875	SLOWER	23
3311	TRY	23
1967	WITHOUT	23
120	SAID	23
2958	LIFE	23
2661	STARTED	23
3259	READY	23
3458	AVERAGE	22
2647	PLUG	22
3034	WITHIN	22
1022	SCAM	22
1629	ROOM	22
3693	GIVE	22
2288	EXCELLENT	22
3169	LIVE	22
1870	US	22
3493	PLEASE	22
807	LIMITED	22
1985	FEET	22
1558	NET	22
1201	DRIVE	22
2957	PORT	22
1424	DAILY	22
3659	ELSEWHERE	22
1434	QUITE	22
3377	UNITS	21
2678	MAKES	21
1874	COMPLETELY	21
456	OLDER	21
1689	30	21
3059	UPGRADE	21
6	LOVE	21
2519	ALWAYS	21
3721	TROUBLE	21
240	SYSTEM	20
2464	OVERPRICED	20
2236	SET-UP	20
766	SMART	20
2954	FAILS	20
190	DOA	20
1479	PROPERLY	20
361	IMPROVEMENT	20
2199	MINUTES	20
1480	90	20
960	ADAPTER	20
3409	OPTIONS	20
2712	MAYBE	20
956	ITSELF	20
1649	PROBABLY	20
3646	OVERALL	20
2605	WHY	20
627	CAME	20
3518	STOPS	19
2387	REASON	19
312	DROP	19
2809	UNABLE	19
2393	ALREADY	19
1823	PAID	19
3107	FAIL	19
1127	REPLACE	19
303	RANDOMLY	19
3412	MULTIPLE	19
2826	THESE	19
368	SENT	19
964	BEING	19
258	AC1900	19
3114	HOPING	19
1928	AWESOME	19
3723	USERS	19
2600	GEAR	19
352	EQUIPMENT	19
1051	END	18
527	EXTREMELY	18
233	WONT	18
2506	SOLUTION	18
555	PROCESS	18
511	HERE	18
2260	DESPITE	18
1725	GAVE	18
1731	WEB	18
2771	THEM	18
2594	GIGABIT	18
2046	SUPER	18
1084	REBOOTS	18
392	LOUSY	18
449	WISH	18
2031	MODE	18
1143	TOOK	18
1370	DD-WRT	18
163	FAULTY	18
3159	UPDATED	17
893	2.4	17
2109	LONGER	17
506	NIGHTMARE	17
939	CAREFUL	17
1995	DOWNLOAD	17
3591	FASTER	17
1907	FOUR	17
410	POTENTIAL	17
3267	N300	17
2006	WENT	17
2471	TRASH	17
1952	IMPOSSIBLE	17
2478	SELLER	17
2963	RECEPTION	17
2253	FIND	17
3078	HATE	17
3312	PRINTER	17
3593	BASIC	17
1382	SEND	17
2359	PHONE	17
1742	EVERYTHING	16
985	LOST	16
3144	YOU'RE	16
2328	REPLACED	16
3123	RANDOM	16
3676	CLOSE	16
2407	FALSE	16
208	CALL	16
3252	GETS	16
2111	RESEARCH	16
1805	CRAPPY	16
3714	LEAST	16
2275	HUGE	16
1217	20	16
1296	NEXT	16
3745	HYPE	16
1567	ORDERED	16
1340	V2	16
2220	5G	16
460	FREQUENT	16
2101	PUT	16
2666	SPEND	15
553	N750	15
1213	DUE	15
3437	LOTS	15
1149	PART	15
2755	ADVERTISING	15
1049	100	15
476	LOSS	15
243	NETGEAR'S	15
744	EXTENDS	15
1760	R7000	15
360	PERFECT	15
2767	ORBI	15
471	MISSING	15
1013	ANYONE	15
1911	DEAL	15
2797	ALMOST	15
3456	SPENT	15
239	CHANGE	15
2145	SUPPOSED	15
1007	REACH	15
2898	AROUND	15
1089	WHO	15
388	ARRIVED	15
1257	SUCH	15
3345	SIGNALS	15
1216	DIDNT	15
3590	DISCONNECTING	15
3283	EXPECT	15
2524	HOWEVER	15
2949	MESH	15
722	REAL	15
2010	SIMPLE	15
601	GUESS	15
2926	TECHNOLOGY	15
