	name	count
45246	EMAIL US	6022
25214	US AT	4311
28455	LINK TO	4034
9676	A LINK	4018
4357	THAT YOU	3975
24198	AT NETGEARTEAM@NETGEAR.COM	3345
35288	WANT TO	3264
11626	TO THIS	3255
35297	TO HELP	3151
2894	HELP YOU	3140
26700	PLEASE EMAIL	3110
20127	SERIAL NUMBER	3020
63805	WITH THE	2990
45339	THIS REVIEW	2931
36108	YOU ARE	2924
38945	YOU CAN	2871
12700	LIKE TO	2784
27562	IF YOU	2659
50193	THE SERIAL	2651
5269	AND THE	2334
12142	OF YOUR	2326
19043	FOR THE	2323
58697	YOU GET	2290
51604	YOU HAVE	2198
37466	WITH A	2116
56826	WE CAN	1889
63246	TO HEAR	1804
18342	THE FIRMWARE	1801
36753	YOU NEED	1762
20947	INCLUDE A	1655
27810	YOUR REVIEW	1649
46231	WOULD LIKE	1634
55554	TO GET	1596
50242	THAT IS	1525
4967	FIRMWARE THAT	1507
20249	ANY OTHER	1482
4711	SORRY TO	1467
9063	SUPPORT TEAM	1450
29683	ON YOUR	1446
10839	HAPPY TO	1444
34129	AT AMAZON@NETGEAR.COM	1423
28628	CASE NUMBERS	1417
17018	NUMBER ON	1409
44409	RUNNING AND	1383
40654	NETGEARTEAM@NETGEAR.COM WITH	1374
26152	OUR SUPPORT	1351
18009	HEAR THAT	1347
41296	IS RUNNING	1335
6969	APOLOGIZE FOR	1331
55659	WITH ANY	1282
17787	LET US	1270
2461	REVIEW AND	1227
27164	ON THE	1210
29152	CAN HELP	1173
40069	WILL BE	1170
1566	CONTACT US	1169
38485	NUMBER OF	1158
41450	WE ARE	1143
13986	BE HAPPY	1107
2513	GET A	1106
33072	ALONG WITH	1104
20590	THE CASE	1096
49695	YOUR CONTACT	1091
60193	ARE HAVING	1085
18287	FREE TO	1072
48100	TO YOUR	1063
30052	WITH YOUR	1060
57927	GET THE	1059
60656	TO INCLUDE	1052
39956	US KNOW	1047
55220	FEEL FREE	1034
45210	ARE SORRY	1033
63743	YOU PLEASE	1025
1900	COPY AND	1014
3136	A COPY	1009
10155	AND PASTE	1005
14124	CAN YOU	1005
50277	ARE VERY	1003
62913	PASTE OF	1001
26161	THE TROUBLE	997
39138	VERY SORRY	979
20265	TO THE	968
49703	OF THE	964
51462	ANYTHING ELSE	958
13663	THAT WE	955
53074	OTHER DETAILS	951
53277	FORWARD TO	921
16171	NEED TO	913
30680	AND WANT	884
60425	CONTACT OUR	882
50159	MORE THAN	875
55827	IN THE	869
47948	AND A	864
2268	MAKE SURE	849
25269	LOOK FORWARD	847
44790	THE ROUTER	842
23283	AND WE	825
49932	HAVE ANY	821
19331	SORRY THAT	805
9295	YOU WILL	801
51426	SO WE	797
3499	REVIEW THE	795
16118	CAN EMAIL	795
38300	PLEASE CONTACT	791
6442	TO CONTACT	790
58358	THAT YOUR	774
26519	FOR YOUR	773
31608	WHEN YOU	769
8755	INCLUDE THE	766
52043	WE'D LIKE	758
40790	US WITH	756
59971	US DIRECTLY	755
56268	PLEASE FEEL	750
53227	WHENEVER YOU	743
49112	WE WANT	741
54564	TO DO	740
34003	REVIEW WITH	736
41622	DETAILS THE	734
11266	CONTACT INFORMATION	729
53810	ON OUR	713
15573	ARE ALWAYS	709
48325	AT SUPPORT.NETGEAR.COM	706
38982	THAT THE	704
26712	WITH YOU	702
42650	SORRY FOR	696
60662	TO SEE	684
15834	APOLOGIZE THAT	681
42219	PLEASE LET	680
36352	AS YOU	678
10942	TO INVESTIGATE	676
6536	FOR YOU	675
56070	GET IT	671
48228	TEAM AT	670
44998	SOON AS	668
15099	CURRENT FIRMWARE	663
8481	YOU AND	661
1839	RIGHT AWAY	649
45757	A CHANCE	644
25942	TO EMAIL	644
40866	AND ARE	633
219	THERE IS	629
62222	AMAZON@NETGEAR.COM WITH	625
39249	AS SOON	625
17459	TROUBLE WITH	618
25017	STANDING BY	618
71	YOU.REGARDS,NETGEAR TEAM	613
61588	REMEMBER THAT	611
16810	WE WILL	609
42779	AND WOULD	605
14547	AND ANY	604
16300	SUPPORT GAVE	572
59714	SURE TO	572
63806	US YOUR	570
433	ARE SO	564
49145	TO APOLOGIZE	564
50939	WE WOULD	564
46753	PLEASE REMEMBER	563
12303	SO SORRY	557
7442	SEE IF	555
44125	REVIEW TO	552
30443	TO WORK	546
62767	YOUR CASE	540
31458	DO IS	535
2209	YOU WITH	534
34873	THE BEST	530
47269	INFORMATION ALONG	528
3555	YOUR UNIT	526
62232	HOPE TO	523
25923	ABLE TO	522
30122	JUST INCLUDE	518
46296	EARN YOUR	514
33444	GAVE YOU	513
57208	TO EARN	510
142	NOTHING MORE	509
24702	THAT SUPPORT	504
58437	ANY CASE	500
4159	YOU FOR	500
399	GET IN	497
33314	NETGEARTEAM@NETGEAR.COM AND	493
32760	OUR FORUMS	489
25630	WORK WITH	488
51458	NUMBERS THAT	486
7346	CAN ALSO	477
24587	ISN'T WORKING	477
34657	DIRECTLY AT	477
18839	YOUR BUSINESS	475
12090	THAN TO	469
53451	THE R7000	468
6523	HARDWARE WARRANTY	466
58068	FOR ANY	464
36687	CAN CONTACT	463
16266	GET YOUR	461
31997	YOU TO	446
5142	INVESTIGATE YOUR	444
20861	TIME YOU	441
44236	THE CURRENT	439
33804	THE LATEST	437
56525	ANY TIME	437
56240	CAN BE	434
6542	APOLOGIES FOR	432
3231	AND YOUR	428
41233	REVIEW YOUR	428
30212	UNDER THE	425
37929	TO MAKE	421
26284	IS EMAIL	420
25064	HAVING TROUBLE	420
56986	UNABLE TO	419
21571	GET YOU	418
38137	WITH US	418
10603	THANK YOU	417
57180	FROM YOU	415
42026	THE WN3000RP	409
54193	ALL YOU	408
42657	TO LET	404
40675	IS A	400
53362	IT IS	398
38251	WHAT IS	397
37549	TROUBLE AND	397
31732	THE EXTENDER	396
3147	ROUTER AND	395
63868	CAN ALWAYS	394
51404	KNOW THAT	393
46971	YOU KNOW	392
28814	TO BE	390
4498	LIKE IT	387
48651	LET YOU	387
57061	YOU WOULD	386
31847	TO ASSIST	384
25307	IT SHOULD	378
60628	SUPPORT IS	377
3310	ALWAYS STANDING	371
2647	THE HARDWARE	370
6451	ELSE THAT	366
8292	HAVE BEEN	363
22906	IS THE	362
10380	AND ALSO	353
48551	I HAVE	353
815	NUMBERS SUPPORT	352
38807	REGARDS,NETGEAR TEAM	351
45566	WORKING PERFECTLY	351
58083	ANY QUESTIONS	344
16775	SURE THAT	343
47967	ABOUT THE	343
43185	PLEASE INCLUDE	343
18234	NEED ANYTHING	340
28170	NETGEAR PRODUCT	340
60246	A MOMENT	338
24630	YOU A	337
48262	AND LOOK	336
56980	THE WNDR4300	333
57999	NUMBER AND	332
40035	YEAR HARDWARE	331
61044	KNOW IF	328
1355	CHANCE PLEASE	326
44944	YOU EMAIL	326
25874	AND GET	325
59951	CONTACT WITH	325
24252	IN CONTACT	324
18248	YOU WERE	324
5116	AN ISSUE	324
35499	YOUR WNDR4300	322
41308	YOUR ROUTER	321
12394	YOU HAD	320
15784	TO HEARING	320
33212	ALSO INCLUDE	320
28794	AMAZON@NETGEAR.COM AND	320
51007	LATEST FIRMWARE	316
33341	THE PROBLEMS	314
62178	ISSUES WITH	313
60563	THAT YOU'VE	312
35479	WILL WANT	311
15962	NEED HELP	310
18940	YOUR R7000	308
52944	THERE ARE	307
36304	IS NOTHING	306
5186	WORKING LIKE	305
30244	YOU HAVEN'T	305
17154	AND HOPE	304
29391	OUR PRODUCTS	304
45209	THE SAME	301
29721	THEY ARE	300
2835	FROM SUPPORT	300
62154	CASE AND	297
49095	THE ISSUES	296
53623	SOUNDS LIKE	295
1268	YOUR ISP	295
14118	WORKING PROPERLY	294
48301	OUT OF	294
58532	PLEASE GET	292
8563	CAN DO	291
47152	GLAD TO	291
49102	IN THIS	288
24016	A REPLACEMENT	288
34219	BY AND	287
16129	WOULD BE	287
11943	HAVE TROUBLE	286
63374	THEY CAN	286
42035	KNOW WHAT	285
63845	THAT CAN	283
38201	IN YOUR	283
22021	RUNNING ON	281
18204	IS TO	281
27958	THE EX7000	281
42822	FROM THE	280
41478	AS WELL	279
33975	GETTING THE	278
44460	HELP WITH	277
15890	HELP PLEASE	275
41671	CAN GET	275
61329	THIS CASE	274
46366	AND APOLOGIZE	274
30358	ASSIST YOU	274
930	AGAIN.REGARDS,NETGEAR TEAM	273
8787	NUMBERS FROM	270
52581	THE PROBLEM	270
15533	YOU'VE HAD	270
28293	YOU WANT	269
41445	THE SUPPORT	268
45236	FIRMWARE VERSION	267
37633	NETGEAR SUPPORT	266
29757	AND INCLUDE	266
16328	YOUR TIME	266
38927	AND ANYTHING	265
39759	SPEED THINGS	264
13830	ELSE PLEASE	263
58352	WANT NOTHING	263
37231	IN TOUCH	262
10379	IT WORKING	261
12865	NETGEARTEAM@NETGEAR.COM JUST	260
43551	FOR CHOOSING	258
23526	YOU RECEIVED	258
31123	LOOK INTO	258
11123	OUR EXPERTS	257
13054	SOON.REGARDS,NETGEAR TEAM	257
35698	THINGS UP	255
53888	TIME AND	254
30825	BUSINESS AGAIN.REGARDS,NETGEAR	254
28879	HAVING WITH	252
46997	A NETGEAR	252
56687	TO AMAZON@NETGEAR.COM	252
19491	YOUR WN3000RP	251
50238	YOU MAY	250
7482	HAVE THE	250
20614	OR YOU	250
34689	HAVE A	247
39848	CAN'T APOLOGIZE	247
2817	ARE YOU	247
20584	STOPPED WORKING	247
60073	AND ASK	246
1638	GET THIS	246
2639	IT FIXED	246
5815	OF OUR	244
38211	ANY OF	244
2640	FIGURE OUT	243
13861	YOU AREN'T	243
11346	HEARING FROM	242
33193	TO OFFER	242
32543	APOLOGIZE ENOUGH	241
12650	HESITATE TO	241
17425	TOUCH WITH	239
4508	YOU INCLUDE	237
44752	MOMENT PLEASE	237
6036	ANY ISSUES	237
39570	ASK THAT	236
45	ARE EXPERIENCING	236
41974	PLEASE DON'T	236
1710	ARE GETTING	236
8304	ALL THAT	236
57731	ISSUES YOU	235
21145	THE ISSUE	234
21259	ARE STANDING	234
56392	TO US	233
51718	THE EMAIL	233
4271	DON'T HESITATE	232
42621	THAN YOUR	232
62653	MAKE THINGS	232
38750	YOU STILL	232
63229	OTHER QUESTIONS	231
6600	SUPPORT AND	229
52738	SIMPLY EMAIL	228
39218	TO LOOK	227
34597	NOT BE	226
26352	YOU SOON.REGARDS,NETGEAR	225
60588	UNIT AND	225
60536	FIRMWARE RUNNING	224
21390	THINGS RIGHT	223
33219	I HAD	223
52034	SUPPORT PAGE	222
61562	THE PERFORMANCE	222
53664	UP ON	221
46764	TROUBLE PLEASE	220
47835	RETURNED THE	220
18214	FOR HELP	220
2946	QUESTIONS OR	220
7649	ISP CURRENT	219
13342	STILL HAVE	219
6884	WHAT YOU	219
3228	YOU UNDER	219
28690	WE LOOK	219
60666	TO NETGEARTEAM@NETGEAR.COM	219
17441	HERE TO	218
38163	REACH US	217
25492	WE APOLOGIZE	216
3512	YOUR WNR1000	216
19017	HELP YOU.REGARDS,NETGEAR	216
58257	IF WE	216
63400	AND THAT	216
39792	YOUR EXTENDER	216
25443	WE'LL BE	215
27417	THEM AT	215
22494	SO THAT	214
61021	BEST POSSIBLE	214
30751	AND ZIP	211
1699	THIS ISSUE	211
51779	AND LET	211
25285	WHAT HAPPENED	210
63042	ISSUE WITH	210
34183	DID YOU	210
57710	FIRMWARE SERIAL	209
30671	AND WE'LL	209
41736	BE GLAD	208
14370	ASSISTANCE PLEASE	207
25094	ENOUGH FOR	207
28686	US AND	206
46376	ARE USING	206
41689	YOUR COMPLETE	206
24679	IF THERE	205
7149	NETGEARTEAM@NETGEAR.COM WHENEVER	202
11193	QUESTIONS PLEASE	202
41465	WITH OUR	202
35076	WE HOPE	202
25912	ALSO WANT	201
1841	GOAL IS	201
29443	CAN SPEED	200
6131	NETGEARTEAM@NETGEAR.COM.REGARDS,NETGEAR TEAM	200
60329	OF THIS	200
43045	AND WILL	200
9107	THAT IT	200
11652	YOUR EX7000	199
40094	PROBLEMS WITH	199
63480	YOU THE	197
23053	CAN REACH	196
42169	THIS IS	196
16807	LIKE NOTHING	196
29031	I AM	196
57647	TO ADD	195
55632	BACK TO	194
7135	SET UP	193
44967	POSSIBLE PERFORMANCE	193
11629	AND IF	191
42449	GET THINGS	191
15100	BE SURE	190
36755	SHOULD NOT	190
26859	NEXT TIME	190
63456	90 DAYS	189
5593	TROUBLE.REGARDS,NETGEAR TEAM	188
14516	FOR SOME	188
61692	WHERE YOU	188
46285	WANT MORE	188
26289	RECEIVED FROM	187
1216	INCONVENIENCE.REGARDS,NETGEAR TEAM	185
29979	IS NOT	185
45502	NOTHING WE	184
32408	FOR ASSISTANCE	184
50963	MAY BE	184
40271	HAD TROUBLE	184
725	FOR A	184
14796	ANY FURTHER	183
62644	A TOPIC	183
7273	FORUMS AT	183
54988	DETAILS THAT	183
58200	MAY HAVE	182
22561	UP A	181
54064	ALWAYS HERE	181
49398	THE FOLLOWING	180
48838	THE RANGE	180
50439	AT THE	180
46007	BE MORE	179
3338	HAVING ISSUES	178
16425	CONTACT INFO	178
59646	WORKING AND	178
27497	US WE	178
62793	SINCERELY SORRY	177
4157	GHZ BAND	177
6686	INCLUDE ANY	177
43805	IS WORKING	176
24989	THAN HAPPY	176
33082	TECH SUPPORT	176
18752	REVIEW.REGARDS,NETGEAR TEAM	175
47579	IS UNABLE	175
31879	SEE WHAT	175
58916	SINCERE APOLOGIES	175
34198	TEAM IS	174
29407	HAS BEEN	174
59840	FIND A	174
24442	ARE SINCERELY	174
23689	WILL ALSO	173
12826	FIX THE	173
62868	BE EMAILED	173
28622	NETGEARTEAM@NETGEAR.COM REGARDS,NETGEAR	173
1804	THE MOMENT	172
21206	BE ABLE	171
34920	THE EX6200	170
201	USING THE	170
31776	US TO	169
3593	AND CAN	169
59651	TO FIX	169
49140	HAD WITH	168
63255	HEAR FROM	168
2742	NETGEARTEAM@NETGEAR.COM YOU	167
53453	WELL AS	167
64462	IS AN	167
24436	IS AS	166
37298	US FOR	166
20574	AS A	166
15973	TOPIC ON	165
50020	THE FIRST	165
38745	FOR WARRANTY	164
63124	R7000 AND	164
39295	CASE PLEASE	164
51108	EMAIL THEM	164
23641	SOME REASON	164
34720	DAYS PHONE	163
6245	UP WITH	163
843	JUST MAKE	163
58930	VALID FOR	163
62148	IS VALID	163
57802	NETGEARTEAM@NETGEAR.COM SO	162
48729	YOU FIND	162
17361	PRODUCTS PLEASE	162
22152	THANKS FOR	162
16152	SUPPORTEMAIL SUPPORT	162
34381	WARRANTY90 DAYS	162
4500	PHONE SUPPORTEMAIL	162
50950	YOU IF	162
26916	HARDWARE WARRANTY90	162
63746	WARRANTY SUPPORT	161
48503	BY EMAIL	161
39544	SHOULD BE	160
21299	2.4 GHZ	159
58453	AND HELP	159
50372	ALSO HELP	158
35891	YOU ALSO	158
36178	CASE NUMBER	158
60471	TAKE A	158
20852	TRYING TO	158
11698	A LOOK	157
53620	DO TO	157
13419	AMAZON@NETGEAR.COM.REGARDS,NETGEAR TEAM	157
8283	MAKING THINGS	157
25568	YOU SHOULD	157
44	EXTENDER AND	157
16892	WITH SUPPORT	157
55545	WARRANTY IS	156
6304	US WHENEVER	156
52627	USE OUR	156
55077	TO MAKING	156
41856	SUPPORT.NETGEAR.COM OR	156
11731	NETGEARTEAM@NETGEAR.COM AS	156
8614	AS FOLLOWS:1	156
33337	FOLLOWS:1 YEAR	156
6951	THIS EMAIL	155
24927	AND SEE	155
54046	GOING TO	154
35168	THE EX7300	154
23996	AT ANY	154
34436	TO A	154
21353	THE CONNECTION	152
48013	UNIT.REGARDS,NETGEAR TEAM	152
29282	THE TROUBLE.REGARDS,NETGEAR	152
35287	HAS STOPPED	152
3773	STANDARD NETGEAR	152
5759	AND I	151
29431	OPEN UP	151
32910	BUSINESS AGAIN	151
42803	RUN INTO	151
14618	WORKING PLEASE	150
39278	INFO THE	150
20540	IT WAS	150
34723	TO HAVE	149
8874	ROUTER IS	149
9021	EMAILED AT	149
37646	NETGEAR WARRANTY	149
13748	YOU THINK	149
4497	TO TAKE	148
39409	NUMBERS YOU	148
7908	HAVE TO	148
39331	US RIGHT	148
9181	WNDR4300 AND	148
97	SOMETHING ISN'T	148
29720	IF THE	148
10132	ARE IN	147
60665	THE NEXT	147
48680	PROBLEMS YOU	147
1130	FROM YOU.REGARDS,NETGEAR	146
39498	WN3000RP AND	146
41652	ANSWER ANY	146
12960	I WAS	146
41499	ACCEPT OUR	146
27117	ANY NETGEAR	146
22852	ON THIS	146
8593	YOUR EX6100	146
46919	LIKE YOU	145
982	DO YOU	145
15937	A NEW	145
60758	THIS AND	145
7158	THINGS RIGHT.REGARDS,NETGEAR	144
59247	RIGHT.REGARDS,NETGEAR TEAM	144
47929	OUT WHAT	144
36798	AT ALL	144
37003	THIS ROUTER	143
61212	OF WHAT	143
46876	BACK FROM	143
53266	THAT THEY	143
33471	THEY WILL	142
9095	WE'D BE	142
1920	ROUTER YOU	142
25325	HAVE RETURNED	142
28103	CHOOSING THE	142
33545	HAVING PROBLEMS	141
64256	OUR APOLOGIES	141
61108	FURTHER ASSISTANCE	141
62249	HEAR ABOUT	140
32932	BY TO	140
6342	ANY INCONVENIENCE	140
23065	NETGEARTEAM@NETGEAR.COM WE	140
22031	AND WHAT	139
37244	THE NETGEAR	139
19785	AWAY PLEASE	139
32332	THE WIFI	138
46337	ISSUES AND	138
15485	LIKE THIS	138
4472	ABOUT YOUR	138
3042	ISSUES PLEASE	137
37991	US AS	137
36345	THE R8000	137
14867	WARRANTY PLEASE	137
43519	IS CAUSING	136
7307	WITH ANYTHING	136
50430	FOR US	136
31515	HAVE AN	135
26971	NETGEARTEAM@NETGEAR.COM FOR	135
47551	UP AND	135
51226	WITH THIS	135
57553	WILL NEED	134
291	IF IT	134
56884	THE R6300V2	134
56220	YOU ON	134
14063	STAND BEHIND	133
29095	UPGRADE TO	133
49214	FIXED RIGHT	133
57141	YOUR UNIT.REGARDS,NETGEAR	132
14422	TO USE	132
46377	YOU NOTICE	132
1352	AT NETGEARTEAM@NETGEAR.COM.REGARDS,NETGEAR	132
1499	A PROBLEM	132
4536	AND YOU	132
42470	CONNECTED TO	132
58180	THE 5GHZ	131
1915	AT YOUR	131
47548	TO CONNECT	131
14111	ARE STILL	131
33012	OR HAVE	131
44079	INCLUDE IS	131
9777	ISSUE PLEASE	130
4042	TEAM CAN	130
26439	NETGEARTEAM@NETGEAR.COM IF	130
892	INCONVENIENCE AND	130
46084	INTO THE	129
57701	PERFORMANCE OUT	129
50755	TROUBLE YOU	129
54543	YOUR NEW	129
62374	THE WNR1000	129
58970	HELP.REGARDS,NETGEAR TEAM	128
49815	AT AMAZON@NETGEAR.COM.REGARDS,NETGEAR	128
31714	YOU EVER	128
36073	EMAIL AT	128
58477	US.REGARDS,NETGEAR TEAM	127
47637	TO HELPING	127
7747	THE EX6100	127
13188	THE 2.4	127
25791	INVESTIGATE AND	127
42921	THEN PLEASE	127
63248	A BETTER	127
17941	LOOK AT	126
38311	AGAIN IN	126
24508	FIRMWARE AND	126
37379	AND THEY	126
50581	IT TO	126
6658	COMPLETELY SATISFIED	126
26036	BE FOUND	125
56621	IS ANYTHING	125
14656	COMPLETE SATISFACTION	125
25937	THE WAY	124
50731	ARE SEVERAL	124
25313	PROBLEMS AND	123
26308	FUTURE.REGARDS,NETGEAR TEAM	123
15216	THE FUTURE.REGARDS,NETGEAR	123
47995	HAVE YOU	123
57191	A QUESTION	123
51802	HAVE RUNNING	122
34202	YOU IN	122
53322	HAD THE	122
41885	THAT THERE	122
42573	NEED ANY	122
52642	AT SUPPORT.NETGEAR.COM.IF	122
47399	CONTINUE TO	122
23234	INTO THIS	122
38438	SUPPORT PLEASE	122
617	AS POSSIBLE	121
62070	OFFER OUR	121
18933	SUPPORT WAS	121
41107	US SO	121
28362	NETGEAR PRODUCTS	120
26433	NUMBER YOU	120
12300	YOU DIRECTLY	120
29511	YOUR R8000	119
30391	BEEN HAVING	119
50597	WHENEVER THERE	119
4772	TO KNOW	119
51590	FOLLOW UP	119
13812	FROM YOUR	119
30015	REPLACEMENT IF	118
64418	REVIEW IF	118
50473	HELP GET	118
39990	NETGEAR CUSTOMER	118
39985	IT SOUNDS	118
13784	OUR ASSISTANCE	118
36208	USE THE	118
48639	NETGEARTEAM@NETGEAR.COMREGARDS,NETGEAR TEAM	117
6996	TO GETTING	117
47444	DAYS OF	117
28730	MOMENT YOU	117
19987	THE FUTURE	117
29665	OR GET	117
7298	RETURNED IT	116
9565	ONE OF	116
39617	QUESTION ON	115
13690	IT AND	115
32113	WARRANTY AND	115
63289	WORKING WITH	115
3912	ASK A	114
7565	ANY PROBLEMS	114
37342	LIKE THE	114
46695	BEST PERFORMANCE	114
1100	RUNNING THE	113
52889	PHONE SUPPORT	113
62115	YOUR EX6200	113
42816	ANY ADDITIONAL	113
22083	BE REACHED	113
21981	PERFECTLY FOR	113
32583	KNOW.REGARDS,NETGEAR TEAM	112
12145	THAT I	112
63090	REVIEW WE	112
32343	US KNOW.REGARDS,NETGEAR	112
15906	VERSION RUNNING	112
43400	ARE SEEING	111
63424	IN NEED	111
12353	YOU THAT	111
14237	HELP AND	111
9663	YOU JUST	111
8434	THINGS WORKING	111
60673	CAN INVESTIGATE	110
26396	OUT THE	110
50571	THING TO	110
64345	TO FIGURE	110
5935	TECHNICAL SUPPORT	110
7435	HOPE THAT	110
44272	THAT MAY	108
9604	TROUBLE GETTING	108
29591	WAS UNABLE	108
25841	PRODUCT PLEASE	108
31826	THE UNIT	108
50831	THIS PROBLEM	108
31215	ZIP CODE	108
43675	HAVEN'T ALREADY	107
26893	YOUR EMAIL	107
24804	OR THE	107
41224	WORKING FOR	107
28739	IN MIND	106
11656	OPTIONS FOR	106
50810	WHAT WE	106
28434	WHEN IT	106
2037	PROVIDE A	106
2387	ANY FRUSTRATION	106
5676	CHECK OUT	106
33811	HAVE ANYTHING	106
9881	PRODUCTS AND	106
17012	NOT HAVE	105
49215	US HELP	105
40044	IN ANY	105
9019	THE R6700	105
42243	DOES NOT	105
13355	APOLOGIES,NETGEAR TEAM	105
5518	ADVANCED ASSISTANCE	104
39747	TO FOLLOW	104
27184	IS ALWAYS	104
53833	WNR1000 AND	104
14671	THIS REVIEW.REGARDS,NETGEAR	104
18809	SUPPORT.NETGEAR.COM ASK	104
61842	DIRECTLY WITH	104
44202	ARE HERE	103
58415	ANY DETAILS	103
30316	THE SPEEDS	103
60006	YOU RETURN	103
37921	REVIEW ALSO	103
63223	BEING A	103
30984	US BY	103
3092	KNOW WE	103
40041	TO ASK	103
51992	A LOYAL	102
51574	AND IT	102
10300	ARE NOT	102
62003	WAY TO	102
11625	THE TIME	102
47431	YOU TELL	102
33711	BEHIND OUR	102
34058	YOUR R6300V2	102
48848	GET BACK	102
23175	CASE YOU	102
45218	MIND THAT	102
7152	WORKING AFTER	101
40225	WERE GIVEN	101
28691	WRITE THIS	101
28964	IS NEEDED	101
19566	LOYAL NETGEAR	101
2078	IF THEY	100
53445	A SOLUTION	100
6319	YOU RIGHT	100
32642	SEVERAL OPTIONS	100
2635	ARE LOOKING	100
56869	THE INCONVENIENCE.REGARDS,NETGEAR	100
24868	SUPPORT AT	100
7584	ISSUES THAT	100
8783	THE PRODUCT	100
33771	THE INTERNET	100
35131	DID NOT	100
21767	THE NEW	99
1930	HELP IN	99
44441	THE SIGNAL	99
49644	YOU CONTINUE	98
60234	CONTACT THEM	98
8868	YOU TRIED	98
45579	BEFORE YOU	98
40002	THAT OUR	98
45988	OR ANY	98
43792	BUT I	98
